price,currency,bedrooms,bathrooms,parkingSpots,propertySize,neighborhood,lat,lon
155000,USD,3,2,2,152,"Chula Vista, Tijuana",32.511752,-117.021109
360000,USD,3,3,2,225,"Alba Roja, Tijuana",32.4975587,-116.9804807
450000,USD,5,3,,5,"Baja Malibu, Tijuana",32.417678,-117.095221
34000,USD,1,1,5,165,"Villa del Campo, Tijuana",32.513641,-116.7334383
3600000,MN,3,2,2,250,"Canon de La Pedrera, Tijuana",32.501927,-117.0212951
4835000,MN,3,2,2,120,"Villa Colonial, Tijuana",32.4894555,-116.9900772
120000,USD,2,2,2,311,"Ejido Chilpancingo, Tijuana",32.5149692,-116.9028144
580000,USD,4,4,4,450,"Gabilondo, Tijuana",32.5153663,-117.0198237
205000,USD,3,2,5,569,"Mexico, Tijuana",32.5149469,-117.0382471
710000,USD,4,3,3,447,"Chapultepec, Tijuana",32.505132,-117.0102592
325000,USD,3,2,,625,"La Mesa, Tijuana",32.5036879,-116.9631923
2200000,MN,3,2,2,103,"Santa Fe, Tijuana",32.4945858,-116.962982
438000,USD,3,3,2,276,"Hacienda Agua Caliente, Tijuana",32.488683,-116.9992226
1759100,MN,5,3,2,200,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
120000,USD,2,1,,297,"Tijuana, Baja California Norte",32.5149469,-117.0382471
1100000,MN,3,1,2,100,"Santa Fe, Tijuana",32.4945858,-116.962982
79000,USD,4,2,,120,"Paseos del Florido, Tijuana",32.4602552,-116.8699693
242999,USD,3,3,3,200,"Tijuana, Baja California Norte",32.5149469,-117.0382471
340000,USD,4,3,2,225,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
720000,USD,4,4,2,197,"Punta Bandera, Tijuana",32.4698654,-117.1187541
2800000,MN,3,1,2,60,"Tijuana, Baja California Norte",32.5149469,-117.0382471
1699999,MN,3,1,2,150,"Tijuana, Baja California Norte",32.5149469,-117.0382471
3950000,MN,4,3,2,158,"Santa Fe, Tijuana",32.4945858,-116.962982
196553,USD,3,2,2,149,"La Cuspide, Tijuana",32.5273732,-117.1036785
249900,USD,3,3,,180,"Real del Mar, Tijuana",32.4517246,-117.0882341
435000,USD,4,3,2,343,"Laderas de Monterrey, Tijuana",32.5077965,-117.0242379
2700000,MN,3,2,2,120,"El Paraiso, Tijuana",32.5054737,-116.9889213
3500000,MN,,,,,"Tijuana, Baja California Norte",32.5149469,-117.0382471
230000,USD,3,2,2,1,"San Agustin, Tijuana",32.5018554,-117.0748881
310000,USD,4,4,6,192,"Hidalgo, Tijuana",32.5153051,-117.0455722
6800000,MN,3,3,2,218,"Burocrata Hipodromo, Tijuana",32.4929537,-116.9977511
4534000,MN,5,5,2,448,"Ciudad Jardin, Tijuana",32.5117028,-117.063962
340000,USD,3,3,2,200,"La Perla Residencial, Tijuana",32.5163663,-117.1203732
550000,USD,3,2,4,1500,"Campestre Murua, Tijuana",32.5234634,-116.9307833
208309,USD,3,2,2,142,"La Cuspide, Tijuana",32.5273732,-117.1036785
65000,USD,2,1,3,294,"Nuevo Milenio, Tijuana",32.4949653,-117.0683753
197000,USD,3,2,2,135,"Los Arboles, Tijuana",32.49359,-116.9626383
